,Unnamed: 0,addressType,basementArea,caseUrl,energyLabel,housingArea,lotArea,monthlyExpense,numberOfFloors,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,yearBuilt,municipalityCode,numberOfBuildings,zipCode,municipality,latitude,longitude,basement,lot
7893,7893,terraced house,0.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R223&sagsnr=223R7460,c,89.0,1416.0,2580,1.0,3.0,37640.0,3350000,0.0,2002.0,153,1,2605,Brøndby,55.649857,12.39263,0,1
7894,7894,villa,0.0,https://www.edc.dk/sag/?sagsnr=61012352,c,162.0,840.0,1395,1.0,6.0,8768.0,1495000,0.0,1961.0,575,1,6630,Vejen,55.364002,9.059951,0,1
7895,7895,condo,0.0,https://www.lokalbolig.dk/?sag=44-X0000952,d,46.0,0.0,1533,1.0,2.0,54891.0,2525000,0.0,1943.0,157,1,2920,Gentofte,55.76011,12.572693,0,0
7896,7896,farm,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=9230-951&shopno=270194&fromsite=boligsiden&csref=boligsiden,a2010,202.0,26458.0,2177,2.0,4.0,28360.0,4495000,0.0,1927.0,851,1,9230,Aalborg,56.96757,9.77814,0,1
7897,7897,villa,10.0,https://www.maeglerringen.dk/redirect/?caseno=21990000073,c,148.0,558.0,1097,2.0,5.0,4360.0,695000,0.0,1900.0,846,1,9550,Mariagerfjord,56.677204,10.059618,1,1
7898,7898,villa,0.0,https://www.edc.dk/sag/?sagsnr=60702236,a2010,139.0,967.0,2021,1.0,4.0,17590.0,2445000,0.0,2017.0,621,1,6070,Kolding,55.362568,9.503989,0,1
7899,7899,condo,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=12170-1&shopno=103058&fromsite=boligsiden&csref=boligsiden,e,52.0,0.0,1965,1.0,2.0,16827.0,875000,0.0,1902.0,479,1,5700,Svendborg,55.05567,10.600837,0,0
7900,7900,villa,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=22186&shopno=270198&fromsite=boligsiden&csref=boligsiden,d,114.0,1063.0,2119,1.0,4.0,12973.0,1645000,0.0,1962.0,510,1,6100,Haderslev,55.25602,9.466324,0,1
7901,7901,condo,0.0,https://www.danbolig.dk?propertyid=2260000171&brokerid=226,c,49.0,0.0,1143,2.0,2.0,39831.0,2350000,0.0,1880.0,751,1,8000,Aarhus,56.15747,10.198834,0,0
7902,7902,full year plot,0.0,https://www.danbolig.dk?propertyid=1610000096&brokerid=161,a2015,,974.0,1436,,,873.0,850000,0.0,,630,1,7080,Vejle,55.66973,9.679876,0,1
7903,7903,holiday house,0.0,https://www.mikkelsentoftlund.dk/redirect/?caseno=12800001480,,81.0,909.0,1848,1.0,4.0,20926.0,1695000,0.0,2011.0,510,1,6100,Haderslev,55.234337,9.695961,0,1
7904,7904,condo,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=34567&shopno=270155&fromsite=boligsiden&csref=boligsiden,,48.0,0.0,2656,1.0,2.0,16562.0,795000,0.0,1992.0,760,1,6950,Ringkøbing-Skjern,56.12252,8.114079,0,0
7905,7905,condo,0.0,https://www.danbolig.dk?propertyid=3010000239&brokerid=301,c,65.0,0.0,4120,3.0,3.0,25385.0,1650000,0.0,1946.0,265,1,4000,Roskilde,55.634552,12.0676365,0,0
7906,7906,condo,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=922027&shopno=270238&fromsite=boligsiden&csref=boligsiden,a2015,91.0,0.0,4006,1.0,3.0,32912.0,2995000,0.0,2021.0,169,1,2640,Høje-Taastrup,55.645638,12.206382,0,0
